email,firstname,lastname,username
student151@virginia.edu,firstnamet151,lastnamet151,student151
student152@virginia.edu,firstnamet152,lastnamet152,student152
student153@virginia.edu,firstnamet153,lastnamet153,student153
student154@virginia.edu,firstnamet154,lastnamet154,student154
student155@virginia.edu,firstnamet155,lastnamet155,student155
student156@virginia.edu,firstnamet156,lastnamet156,student156
student157@virginia.edu,firstnamet157,lastnamet157,student157
student158@virginia.edu,firstnamet158,lastnamet158,student158
student159@virginia.edu,firstnamet159,lastnamet159,student159
student160@virginia.edu,firstnamet160,lastnamet160,student160
student161@virginia.edu,firstnamet161,lastnamet161,student161
student162@virginia.edu,firstnamet162,lastnamet162,student162
student163@virginia.edu,firstnamet163,lastnamet163,student163
student164@virginia.edu,firstnamet164,lastnamet164,student164
student165@virginia.edu,firstnamet165,lastnamet165,student165
student166@virginia.edu,firstnamet166,lastnamet166,student166
student167@virginia.edu,firstnamet167,lastnamet167,student167
student168@virginia.edu,firstnamet168,lastnamet168,student168
student169@virginia.edu,firstnamet169,lastnamet169,student169
student170@virginia.edu,firstnamet170,lastnamet170,student170
student171@virginia.edu,firstnamet171,lastnamet171,student171
student172@virginia.edu,firstnamet172,lastnamet172,student172
student173@virginia.edu,firstnamet173,lastnamet173,student173
student174@virginia.edu,firstnamet174,lastnamet174,student174
student175@virginia.edu,firstnamet175,lastnamet175,student175
student176@virginia.edu,firstnamet176,lastnamet176,student176
student177@virginia.edu,firstnamet177,lastnamet177,student177
student178@virginia.edu,firstnamet178,lastnamet178,student178
student179@virginia.edu,firstnamet179,lastnamet179,student179
student180@virginia.edu,firstnamet180,lastnamet180,student180
student181@virginia.edu,firstnamet181,lastnamet181,student181
student182@virginia.edu,firstnamet182,lastnamet182,student182
student183@virginia.edu,firstnamet183,lastnamet183,student183
student184@virginia.edu,firstnamet184,lastnamet184,student184
student185@virginia.edu,firstnamet185,lastnamet185,student185
student186@virginia.edu,firstnamet186,lastnamet186,student186
student187@virginia.edu,firstnamet187,lastnamet187,student187
student188@virginia.edu,firstnamet188,lastnamet188,student188
student189@virginia.edu,firstnamet189,lastnamet189,student189
student190@virginia.edu,firstnamet190,lastnamet190,student190
student191@virginia.edu,firstnamet191,lastnamet191,student191
student192@virginia.edu,firstnamet192,lastnamet192,student192
student193@virginia.edu,firstnamet193,lastnamet193,student193
student194@virginia.edu,firstnamet194,lastnamet194,student194
student195@virginia.edu,firstnamet195,lastnamet195,student195
student196@virginia.edu,firstnamet196,lastnamet196,student196
student197@virginia.edu,firstnamet197,lastnamet197,student197
student198@virginia.edu,firstnamet198,lastnamet198,student198
student199@virginia.edu,firstnamet199,lastnamet199,student199
student200@virginia.edu,firstnamet200,lastnamet200,student200
student201@virginia.edu,firstnamet201,lastnamet201,student201
student202@virginia.edu,firstnamet202,lastnamet202,student202
student203@virginia.edu,firstnamet203,lastnamet203,student203
student204@virginia.edu,firstnamet204,lastnamet204,student204
student205@virginia.edu,firstnamet205,lastnamet205,student205
student206@virginia.edu,firstnamet206,lastnamet206,student206
student207@virginia.edu,firstnamet207,lastnamet207,student207
student208@virginia.edu,firstnamet208,lastnamet208,student208
student209@virginia.edu,firstnamet209,lastnamet209,student209
student210@virginia.edu,firstnamet210,lastnamet210,student210
student211@virginia.edu,firstnamet211,lastnamet211,student211
student212@virginia.edu,firstnamet212,lastnamet212,student212
student213@virginia.edu,firstnamet213,lastnamet213,student213
student214@virginia.edu,firstnamet214,lastnamet214,student214
student215@virginia.edu,firstnamet215,lastnamet215,student215
student216@virginia.edu,firstnamet216,lastnamet216,student216
student217@virginia.edu,firstnamet217,lastnamet217,student217
student218@virginia.edu,firstnamet218,lastnamet218,student218
student219@virginia.edu,firstnamet219,lastnamet219,student219
student220@virginia.edu,firstnamet220,lastnamet220,student220
student221@virginia.edu,firstnamet221,lastnamet221,student221
student222@virginia.edu,firstnamet222,lastnamet222,student222
student223@virginia.edu,firstnamet223,lastnamet223,student223
student224@virginia.edu,firstnamet224,lastnamet224,student224
student225@virginia.edu,firstnamet225,lastnamet225,student225
student226@virginia.edu,firstnamet226,lastnamet226,student226
student227@virginia.edu,firstnamet227,lastnamet227,student227
student228@virginia.edu,firstnamet228,lastnamet228,student228
student229@virginia.edu,firstnamet229,lastnamet229,student229
student230@virginia.edu,firstnamet230,lastnamet230,student230
student231@virginia.edu,firstnamet231,lastnamet231,student231
student232@virginia.edu,firstnamet232,lastnamet232,student232
student233@virginia.edu,firstnamet233,lastnamet233,student233
student234@virginia.edu,firstnamet234,lastnamet234,student234
student235@virginia.edu,firstnamet235,lastnamet235,student235
student236@virginia.edu,firstnamet236,lastnamet236,student236
student237@virginia.edu,firstnamet237,lastnamet237,student237
student238@virginia.edu,firstnamet238,lastnamet238,student238
student239@virginia.edu,firstnamet239,lastnamet239,student239
student240@virginia.edu,firstnamet240,lastnamet240,student240
student241@virginia.edu,firstnamet241,lastnamet241,student241
student242@virginia.edu,firstnamet242,lastnamet242,student242
student243@virginia.edu,firstnamet243,lastnamet243,student243
student244@virginia.edu,firstnamet244,lastnamet244,student244
student245@virginia.edu,firstnamet245,lastnamet245,student245
student246@virginia.edu,firstnamet246,lastnamet246,student246
student247@virginia.edu,firstnamet247,lastnamet247,student247
student248@virginia.edu,firstnamet248,lastnamet248,student248
student249@virginia.edu,firstnamet249,lastnamet249,student249
student250@virginia.edu,firstnamet250,lastnamet250,student250
student251@virginia.edu,firstnamet251,lastnamet251,student251
student252@virginia.edu,firstnamet252,lastnamet252,student252
student253@virginia.edu,firstnamet253,lastnamet253,student253
student254@virginia.edu,firstnamet254,lastnamet254,student254
student255@virginia.edu,firstnamet255,lastnamet255,student255
student256@virginia.edu,firstnamet256,lastnamet256,student256
student257@virginia.edu,firstnamet257,lastnamet257,student257
student258@virginia.edu,firstnamet258,lastnamet258,student258
student259@virginia.edu,firstnamet259,lastnamet259,student259
student260@virginia.edu,firstnamet260,lastnamet260,student260
student261@virginia.edu,firstnamet261,lastnamet261,student261
student262@virginia.edu,firstnamet262,lastnamet262,student262
student263@virginia.edu,firstnamet263,lastnamet263,student263
student264@virginia.edu,firstnamet264,lastnamet264,student264
student265@virginia.edu,firstnamet265,lastnamet265,student265
student266@virginia.edu,firstnamet266,lastnamet266,student266
student267@virginia.edu,firstnamet267,lastnamet267,student267
student268@virginia.edu,firstnamet268,lastnamet268,student268
student269@virginia.edu,firstnamet269,lastnamet269,student269
student270@virginia.edu,firstnamet270,lastnamet270,student270
student271@virginia.edu,firstnamet271,lastnamet271,student271
student272@virginia.edu,firstnamet272,lastnamet272,student272
student273@virginia.edu,firstnamet273,lastnamet273,student273
student274@virginia.edu,firstnamet274,lastnamet274,student274
student275@virginia.edu,firstnamet275,lastnamet275,student275
student276@virginia.edu,firstnamet276,lastnamet276,student276
student277@virginia.edu,firstnamet277,lastnamet277,student277
student278@virginia.edu,firstnamet278,lastnamet278,student278
student279@virginia.edu,firstnamet279,lastnamet279,student279
student280@virginia.edu,firstnamet280,lastnamet280,student280
student281@virginia.edu,firstnamet281,lastnamet281,student281
student282@virginia.edu,firstnamet282,lastnamet282,student282
student283@virginia.edu,firstnamet283,lastnamet283,student283
student284@virginia.edu,firstnamet284,lastnamet284,student284
student285@virginia.edu,firstnamet285,lastnamet285,student285
student286@virginia.edu,firstnamet286,lastnamet286,student286
student287@virginia.edu,firstnamet287,lastnamet287,student287
student288@virginia.edu,firstnamet288,lastnamet288,student288
student289@virginia.edu,firstnamet289,lastnamet289,student289
student290@virginia.edu,firstnamet290,lastnamet290,student290
student291@virginia.edu,firstnamet291,lastnamet291,student291
student292@virginia.edu,firstnamet292,lastnamet292,student292
student293@virginia.edu,firstnamet293,lastnamet293,student293
student294@virginia.edu,firstnamet294,lastnamet294,student294
student295@virginia.edu,firstnamet295,lastnamet295,student295
student296@virginia.edu,firstnamet296,lastnamet296,student296
student297@virginia.edu,firstnamet297,lastnamet297,student297
student298@virginia.edu,firstnamet298,lastnamet298,student298
student299@virginia.edu,firstnamet299,lastnamet299,student299
student300@virginia.edu,firstnamet300,lastnamet300,student300
student301@virginia.edu,firstnamet301,lastnamet301,student301
student302@virginia.edu,firstnamet302,lastnamet302,student302
student303@virginia.edu,firstnamet303,lastnamet303,student303
student304@virginia.edu,firstnamet304,lastnamet304,student304
student305@virginia.edu,firstnamet305,lastnamet305,student305
student306@virginia.edu,firstnamet306,lastnamet306,student306
student307@virginia.edu,firstnamet307,lastnamet307,student307
student308@virginia.edu,firstnamet308,lastnamet308,student308
student309@virginia.edu,firstnamet309,lastnamet309,student309
student310@virginia.edu,firstnamet310,lastnamet310,student310
student311@virginia.edu,firstnamet311,lastnamet311,student311
student312@virginia.edu,firstnamet312,lastnamet312,student312
student313@virginia.edu,firstnamet313,lastnamet313,student313
student314@virginia.edu,firstnamet314,lastnamet314,student314
student315@virginia.edu,firstnamet315,lastnamet315,student315
student316@virginia.edu,firstnamet316,lastnamet316,student316
student317@virginia.edu,firstnamet317,lastnamet317,student317
student318@virginia.edu,firstnamet318,lastnamet318,student318
student319@virginia.edu,firstnamet319,lastnamet319,student319
student320@virginia.edu,firstnamet320,lastnamet320,student320
student321@virginia.edu,firstnamet321,lastnamet321,student321
student322@virginia.edu,firstnamet322,lastnamet322,student322
student323@virginia.edu,firstnamet323,lastnamet323,student323
student324@virginia.edu,firstnamet324,lastnamet324,student324
student325@virginia.edu,firstnamet325,lastnamet325,student325
student326@virginia.edu,firstnamet326,lastnamet326,student326
student327@virginia.edu,firstnamet327,lastnamet327,student327
student328@virginia.edu,firstnamet328,lastnamet328,student328
student329@virginia.edu,firstnamet329,lastnamet329,student329
student330@virginia.edu,firstnamet330,lastnamet330,student330
student331@virginia.edu,firstnamet331,lastnamet331,student331
student332@virginia.edu,firstnamet332,lastnamet332,student332
student333@virginia.edu,firstnamet333,lastnamet333,student333
student334@virginia.edu,firstnamet334,lastnamet334,student334
student335@virginia.edu,firstnamet335,lastnamet335,student335
student336@virginia.edu,firstnamet336,lastnamet336,student336
student337@virginia.edu,firstnamet337,lastnamet337,student337
student338@virginia.edu,firstnamet338,lastnamet338,student338
student339@virginia.edu,firstnamet339,lastnamet339,student339
student340@virginia.edu,firstnamet340,lastnamet340,student340
student341@virginia.edu,firstnamet341,lastnamet341,student341
student342@virginia.edu,firstnamet342,lastnamet342,student342
student343@virginia.edu,firstnamet343,lastnamet343,student343
student344@virginia.edu,firstnamet344,lastnamet344,student344
student345@virginia.edu,firstnamet345,lastnamet345,student345
student346@virginia.edu,firstnamet346,lastnamet346,student346
student347@virginia.edu,firstnamet347,lastnamet347,student347
student348@virginia.edu,firstnamet348,lastnamet348,student348
student349@virginia.edu,firstnamet349,lastnamet349,student349
student350@virginia.edu,firstnamet350,lastnamet350,student350
student351@virginia.edu,firstnamet351,lastnamet351,student351
student352@virginia.edu,firstnamet352,lastnamet352,student352
student353@virginia.edu,firstnamet353,lastnamet353,student353
student354@virginia.edu,firstnamet354,lastnamet354,student354
student355@virginia.edu,firstnamet355,lastnamet355,student355
student356@virginia.edu,firstnamet356,lastnamet356,student356
student357@virginia.edu,firstnamet357,lastnamet357,student357
student358@virginia.edu,firstnamet358,lastnamet358,student358
student359@virginia.edu,firstnamet359,lastnamet359,student359
student360@virginia.edu,firstnamet360,lastnamet360,student360
student361@virginia.edu,firstnamet361,lastnamet361,student361
student362@virginia.edu,firstnamet362,lastnamet362,student362
student363@virginia.edu,firstnamet363,lastnamet363,student363
student364@virginia.edu,firstnamet364,lastnamet364,student364
student365@virginia.edu,firstnamet365,lastnamet365,student365
student366@virginia.edu,firstnamet366,lastnamet366,student366
student367@virginia.edu,firstnamet367,lastnamet367,student367
student368@virginia.edu,firstnamet368,lastnamet368,student368
student369@virginia.edu,firstnamet369,lastnamet369,student369
student370@virginia.edu,firstnamet370,lastnamet370,student370
student371@virginia.edu,firstnamet371,lastnamet371,student371
student372@virginia.edu,firstnamet372,lastnamet372,student372
student373@virginia.edu,firstnamet373,lastnamet373,student373
student374@virginia.edu,firstnamet374,lastnamet374,student374
student375@virginia.edu,firstnamet375,lastnamet375,student375
student376@virginia.edu,firstnamet376,lastnamet376,student376
student377@virginia.edu,firstnamet377,lastnamet377,student377
student378@virginia.edu,firstnamet378,lastnamet378,student378
student379@virginia.edu,firstnamet379,lastnamet379,student379
student380@virginia.edu,firstnamet380,lastnamet380,student380
student381@virginia.edu,firstnamet381,lastnamet381,student381
student382@virginia.edu,firstnamet382,lastnamet382,student382
student383@virginia.edu,firstnamet383,lastnamet383,student383
student384@virginia.edu,firstnamet384,lastnamet384,student384
student385@virginia.edu,firstnamet385,lastnamet385,student385
student386@virginia.edu,firstnamet386,lastnamet386,student386
student387@virginia.edu,firstnamet387,lastnamet387,student387
student388@virginia.edu,firstnamet388,lastnamet388,student388
student389@virginia.edu,firstnamet389,lastnamet389,student389
student390@virginia.edu,firstnamet390,lastnamet390,student390
student391@virginia.edu,firstnamet391,lastnamet391,student391
student392@virginia.edu,firstnamet392,lastnamet392,student392
student393@virginia.edu,firstnamet393,lastnamet393,student393
student394@virginia.edu,firstnamet394,lastnamet394,student394
student395@virginia.edu,firstnamet395,lastnamet395,student395
student396@virginia.edu,firstnamet396,lastnamet396,student396
student397@virginia.edu,firstnamet397,lastnamet397,student397
student398@virginia.edu,firstnamet398,lastnamet398,student398
student399@virginia.edu,firstnamet399,lastnamet399,student399
student400@virginia.edu,firstnamet400,lastnamet400,student400
student401@virginia.edu,firstnamet401,lastnamet401,student401
student402@virginia.edu,firstnamet402,lastnamet402,student402
student403@virginia.edu,firstnamet403,lastnamet403,student403
student404@virginia.edu,firstnamet404,lastnamet404,student404
student405@virginia.edu,firstnamet405,lastnamet405,student405
student406@virginia.edu,firstnamet406,lastnamet406,student406
student407@virginia.edu,firstnamet407,lastnamet407,student407
student408@virginia.edu,firstnamet408,lastnamet408,student408
student409@virginia.edu,firstnamet409,lastnamet409,student409
student410@virginia.edu,firstnamet410,lastnamet410,student410
student411@virginia.edu,firstnamet411,lastnamet411,student411
student412@virginia.edu,firstnamet412,lastnamet412,student412
student413@virginia.edu,firstnamet413,lastnamet413,student413
student414@virginia.edu,firstnamet414,lastnamet414,student414
student415@virginia.edu,firstnamet415,lastnamet415,student415
student416@virginia.edu,firstnamet416,lastnamet416,student416
student417@virginia.edu,firstnamet417,lastnamet417,student417
student418@virginia.edu,firstnamet418,lastnamet418,student418
student419@virginia.edu,firstnamet419,lastnamet419,student419
student420@virginia.edu,firstnamet420,lastnamet420,student420
student421@virginia.edu,firstnamet421,lastnamet421,student421
student422@virginia.edu,firstnamet422,lastnamet422,student422
student423@virginia.edu,firstnamet423,lastnamet423,student423
student424@virginia.edu,firstnamet424,lastnamet424,student424
student425@virginia.edu,firstnamet425,lastnamet425,student425
student426@virginia.edu,firstnamet426,lastnamet426,student426
student427@virginia.edu,firstnamet427,lastnamet427,student427
student428@virginia.edu,firstnamet428,lastnamet428,student428
student429@virginia.edu,firstnamet429,lastnamet429,student429
student430@virginia.edu,firstnamet430,lastnamet430,student430
student431@virginia.edu,firstnamet431,lastnamet431,student431
student432@virginia.edu,firstnamet432,lastnamet432,student432
student433@virginia.edu,firstnamet433,lastnamet433,student433
student434@virginia.edu,firstnamet434,lastnamet434,student434
student435@virginia.edu,firstnamet435,lastnamet435,student435
student436@virginia.edu,firstnamet436,lastnamet436,student436
student437@virginia.edu,firstnamet437,lastnamet437,student437
student438@virginia.edu,firstnamet438,lastnamet438,student438
student439@virginia.edu,firstnamet439,lastnamet439,student439
student440@virginia.edu,firstnamet440,lastnamet440,student440
student441@virginia.edu,firstnamet441,lastnamet441,student441
student442@virginia.edu,firstnamet442,lastnamet442,student442
student443@virginia.edu,firstnamet443,lastnamet443,student443
student444@virginia.edu,firstnamet444,lastnamet444,student444
student445@virginia.edu,firstnamet445,lastnamet445,student445
student446@virginia.edu,firstnamet446,lastnamet446,student446
student447@virginia.edu,firstnamet447,lastnamet447,student447
student448@virginia.edu,firstnamet448,lastnamet448,student448
student449@virginia.edu,firstnamet449,lastnamet449,student449
student450@virginia.edu,firstnamet450,lastnamet450,student450
student451@virginia.edu,firstnamet451,lastnamet451,student451
student452@virginia.edu,firstnamet452,lastnamet452,student452
student453@virginia.edu,firstnamet453,lastnamet453,student453
student454@virginia.edu,firstnamet454,lastnamet454,student454
student455@virginia.edu,firstnamet455,lastnamet455,student455
student456@virginia.edu,firstnamet456,lastnamet456,student456
student457@virginia.edu,firstnamet457,lastnamet457,student457
student458@virginia.edu,firstnamet458,lastnamet458,student458
student459@virginia.edu,firstnamet459,lastnamet459,student459
student460@virginia.edu,firstnamet460,lastnamet460,student460
student461@virginia.edu,firstnamet461,lastnamet461,student461
student462@virginia.edu,firstnamet462,lastnamet462,student462
student463@virginia.edu,firstnamet463,lastnamet463,student463
student464@virginia.edu,firstnamet464,lastnamet464,student464
student465@virginia.edu,firstnamet465,lastnamet465,student465
student466@virginia.edu,firstnamet466,lastnamet466,student466
student467@virginia.edu,firstnamet467,lastnamet467,student467
student468@virginia.edu,firstnamet468,lastnamet468,student468
student469@virginia.edu,firstnamet469,lastnamet469,student469
student470@virginia.edu,firstnamet470,lastnamet470,student470
student471@virginia.edu,firstnamet471,lastnamet471,student471
student472@virginia.edu,firstnamet472,lastnamet472,student472
student473@virginia.edu,firstnamet473,lastnamet473,student473
student474@virginia.edu,firstnamet474,lastnamet474,student474
student475@virginia.edu,firstnamet475,lastnamet475,student475
student476@virginia.edu,firstnamet476,lastnamet476,student476
student477@virginia.edu,firstnamet477,lastnamet477,student477
student478@virginia.edu,firstnamet478,lastnamet478,student478
student479@virginia.edu,firstnamet479,lastnamet479,student479
student480@virginia.edu,firstnamet480,lastnamet480,student480
student481@virginia.edu,firstnamet481,lastnamet481,student481
student482@virginia.edu,firstnamet482,lastnamet482,student482
student483@virginia.edu,firstnamet483,lastnamet483,student483
student484@virginia.edu,firstnamet484,lastnamet484,student484
student485@virginia.edu,firstnamet485,lastnamet485,student485
student486@virginia.edu,firstnamet486,lastnamet486,student486
student487@virginia.edu,firstnamet487,lastnamet487,student487
student488@virginia.edu,firstnamet488,lastnamet488,student488
student489@virginia.edu,firstnamet489,lastnamet489,student489
student490@virginia.edu,firstnamet490,lastnamet490,student490
student491@virginia.edu,firstnamet491,lastnamet491,student491
student492@virginia.edu,firstnamet492,lastnamet492,student492
student493@virginia.edu,firstnamet493,lastnamet493,student493
student494@virginia.edu,firstnamet494,lastnamet494,student494
student495@virginia.edu,firstnamet495,lastnamet495,student495
student496@virginia.edu,firstnamet496,lastnamet496,student496
student497@virginia.edu,firstnamet497,lastnamet497,student497
student498@virginia.edu,firstnamet498,lastnamet498,student498
student499@virginia.edu,firstnamet499,lastnamet499,student499
student500@virginia.edu,firstnamet500,lastnamet500,student500
student501@virginia.edu,firstnamet501,lastnamet501,student501
student502@virginia.edu,firstnamet502,lastnamet502,student502
student503@virginia.edu,firstnamet503,lastnamet503,student503
student504@virginia.edu,firstnamet504,lastnamet504,student504
student505@virginia.edu,firstnamet505,lastnamet505,student505
student506@virginia.edu,firstnamet506,lastnamet506,student506
student507@virginia.edu,firstnamet507,lastnamet507,student507
student508@virginia.edu,firstnamet508,lastnamet508,student508
student509@virginia.edu,firstnamet509,lastnamet509,student509
student510@virginia.edu,firstnamet510,lastnamet510,student510
student511@virginia.edu,firstnamet511,lastnamet511,student511
student512@virginia.edu,firstnamet512,lastnamet512,student512
student513@virginia.edu,firstnamet513,lastnamet513,student513
student514@virginia.edu,firstnamet514,lastnamet514,student514
student515@virginia.edu,firstnamet515,lastnamet515,student515
student516@virginia.edu,firstnamet516,lastnamet516,student516
student517@virginia.edu,firstnamet517,lastnamet517,student517
student518@virginia.edu,firstnamet518,lastnamet518,student518
student519@virginia.edu,firstnamet519,lastnamet519,student519
student520@virginia.edu,firstnamet520,lastnamet520,student520
student521@virginia.edu,firstnamet521,lastnamet521,student521
student522@virginia.edu,firstnamet522,lastnamet522,student522
student523@virginia.edu,firstnamet523,lastnamet523,student523
student524@virginia.edu,firstnamet524,lastnamet524,student524
